
log10(E)	xsec(nue)/E	xsec(numu)/E	xsec(nutau)/E	xsec(nuebar)/E	xsec(numubar)/E	xsec(nutaubar)/E

-2.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
-0.95825177	0.59821670	0.00118201	0.00000000	0.59821670	0.00055886	0.00000000
-0.67740824	2.97537285	1.53052892	0.00000000	2.97537285	0.47231838	0.00000000
-0.50825984	5.48052765	4.36310080	0.00000000	5.48052765	1.04391443	0.00000000
-0.38683460	7.36505311	6.20730856	0.00000000	7.36505311	1.34740111	0.00000000
-0.29204641	8.80852323	7.67183415	0.00000000	8.80852323	1.59645844	0.00000000
-0.21428549	9.98246666	9.03350923	0.00000000	9.98246666	1.86338856	0.00000000
-0.14835608	10.62353440	9.90412528	0.00000000	10.62353440	2.13829814	0.00000000
-0.09112873	10.92637983	10.25354406	0.00000000	10.92637983	2.33047916	0.00000000
-0.04057182	11.02345518	10.37919545	0.00000000	11.02345518	2.50808566	0.00000000
0.00470858	10.99608615	10.43141045	0.00000000	10.99608615	2.71631581	0.00000000
0.04571054	10.90295742	10.38696713	0.00000000	10.90295742	2.90106773	0.00000000
0.08317322	10.78408099	10.28726701	0.00000000	10.78408099	3.04773547	0.00000000
0.11765939	10.66360437	10.19395349	0.00000000	10.66360437	3.17384322	0.00000000
0.14960742	10.55394079	10.12655365	0.00000000	10.55394079	3.28845149	0.00000000
0.17936544	10.46342423	10.07938461	0.00000000	10.46342423	3.39040276	0.00000000
0.20721453	10.39343857	10.04687429	0.00000000	10.39343857	3.47830059	0.00000000
0.23338490	10.33662549	10.02180654	0.00000000	10.33662549	3.55284722	0.00000000
0.25806750	10.28628165	9.99647618	0.00000000	10.28628165	3.61564063	0.00000000
0.28142240	10.23643752	9.96471908	0.00000000	10.23643752	3.66794483	0.00000000
0.30358519	10.18397598	9.92697121	0.00000000	10.18397598	3.71155585	0.00000000
0.32467168	10.13026103	9.88695371	0.00000015	10.13026103	3.74853300	0.00000050
0.34478159	10.07699618	9.84757946	0.00000197	10.07699618	3.78054664	0.00000139
0.36400137	10.02589529	9.81086571	0.00001262	10.02589529	3.80891014	0.00000891
0.38240650	9.98421237	9.77625747	0.00005418	9.98421237	3.83404213	0.00003800
0.40006324	9.94652655	9.74251538	0.00016100	9.94652655	3.85589440	0.00011136
0.41703009	9.91155428	9.71426744	0.00037660	9.91155428	3.87442000	0.00025683
0.43335893	9.87725680	9.69250380	0.00073277	9.87725680	3.88957940	0.00049462
0.44909601	9.84761038	9.66328937	0.00872829	9.84761038	3.90153690	0.00214373
0.46428273	9.81940825	9.62988893	0.02421697	9.81940825	3.91106457	0.00569440
0.47895628	9.79115997	9.59690581	0.03882571	9.79115997	3.91895552	0.00912988
0.49315021	9.76154312	9.57541214	0.05266158	9.76154312	3.92590266	0.01246081
0.50689489	9.73069762	9.55299982	0.06583902	9.73069762	3.93252438	0.01569642
0.52021789	9.69915916	9.52615968	0.07843191	9.69915916	3.93934730	0.01884538
0.53314431	9.66719143	9.50015543	0.09048073	9.66719143	3.94644440	0.02191587
0.54569708	9.63498342	9.47540291	0.10595985	9.63498342	3.95352772	0.02584023
0.55789720	9.60275469	9.45082506	0.13502528	9.60275469	3.96032906	0.03387681
0.56976394	9.57072070	9.42635394	0.18182517	9.57072070	3.96661401	0.04837557
0.58131503	9.53908414	9.40196293	0.21460854	9.53908414	3.97217410	0.06077366
0.59256684	9.50796290	9.37741181	0.22872998	9.50796290	3.97682212	0.06828227
0.60353448	9.47747060	9.35254468	0.25523558	9.47747060	3.98041660	0.08107369
0.61423195	9.44761388	9.32761558	0.28977849	9.44761388	3.98306603	0.09729268
0.62467225	9.41836788	9.30264785	0.31554762	9.41836788	3.98489236	0.10772845
0.63486744	9.38973913	9.27777349	0.34240521	9.38973913	3.98603601	0.11607048
0.64482878	9.36180160	9.25315688	0.38137372	9.36180160	3.98663789	0.12903907
0.65456676	9.33462371	9.22890273	0.42258796	9.33462371	3.98681626	0.14446123
0.66409116	9.30825849	9.20500970	0.45637525	9.30825849	3.98665547	0.15884583
0.67341116	9.28275085	9.18152558	0.48528061	9.28275085	3.98624490	0.17244082
0.68253534	9.25813950	9.15851528	0.51323416	9.25813950	3.98566763	0.18628402
0.69147178	9.23445739	9.13603850	0.54174713	9.23445739	3.98496737	0.20111209
0.70022803	9.21171560	9.11416203	0.57164000	9.21171560	3.98417146	0.21742838
0.70881122	9.18987750	9.09295020	0.60290821	9.18987750	3.98330579	0.23496389
0.71722805	9.16889315	9.07246256	0.63530716	9.16889315	3.98239425	0.25317190
0.72548487	9.14871520	9.05275310	0.66868135	9.14871520	3.98145875	0.27151335
0.73358762	9.12929884	9.03387161	0.70289254	9.12929884	3.98051967	0.28946152
0.74154197	9.11060219	9.01586486	0.73738306	9.11060219	3.97959601	0.30652485
0.74935324	9.09258594	8.99875311	0.77105014	9.09258594	3.97870645	0.32224569
0.75702650	9.07521319	8.98249908	0.80328732	9.07521319	3.97787159	0.33643826
0.76456654	9.05845054	8.96704590	0.83589741	9.05845054	3.97710365	0.35042569
0.77197790	9.04226702	8.95231133	0.87121438	9.04226702	3.97638999	0.36599727
0.77926490	9.02663191	8.93821485	0.90949686	9.02663191	3.97571392	0.38365479
0.78643165	9.01151315	8.92468170	0.94843001	9.01151315	3.97505983	0.40195078
0.79348205	8.99688040	8.91164141	0.98585368	8.99688040	3.97441302	0.41944317
0.80041982	8.98270580	8.89902502	1.02171130	8.98270580	3.97375881	0.43591707
0.80724850	8.96896365	8.88676700	1.05703086	8.96896365	3.97308313	0.45192577
0.81397147	8.95563048	8.87482022	1.09266691	8.95563048	3.97237426	0.46799863
0.82059195	8.94268444	8.86316364	1.12883559	8.94268444	3.97162304	0.48461110
0.82711302	8.93010436	8.85177945	1.16558651	8.93010436	3.97082068	0.50220138
0.83353762	8.91787027	8.84065002	1.20270992	8.91787027	3.96995792	0.52092611
0.83986856	8.90596337	8.82975899	1.23907313	8.90596337	3.96902585	0.53983498
0.84610854	8.89436599	8.81909794	1.27338777	8.89436599	3.96802088	0.55773716
0.85226013	8.88306119	8.80866578	1.30492472	8.88306119	3.96694775	0.57386293
0.85832580	8.87203574	8.79846173	1.33491088	8.87203574	3.96581183	0.58916502
0.86430792	8.86127925	8.78848435	1.36497883	8.86127925	3.96461908	0.60504138
0.87020876	8.85078325	8.77873208	1.39639029	8.85078325	3.96337544	0.62260084
0.87603050	8.84053990	8.76920344	1.42840325	8.84053990	3.96208696	0.64117963
0.88177522	8.83054149	8.75989540	1.45951642	8.83054149	3.96076150	0.65932394
0.88744495	8.82077998	8.75080457	1.48836215	8.82077998	3.95940708	0.67568908
0.89304161	8.81124749	8.74192672	1.51493323	8.81124749	3.95803135	0.69012460
0.89856707	8.80193643	8.73325622	1.54046409	8.80193643	3.95664159	0.70373386
0.90402311	8.79283931	8.72478776	1.56619229	8.79283931	3.95524473	0.71763167
0.90941145	8.78394897	8.71651561	1.59298314	8.78394897	3.95384734	0.73262571
0.91473376	8.77525882	8.70843329	1.62049212	8.77525882	3.95245566	0.74845966
0.91999163	8.76676337	8.70053452	1.64835111	8.76676337	3.95107560	0.76463094
0.92518661	8.75845772	8.69281412	1.67772767	8.75845772	3.94971282	0.78066132
0.93032018	8.75033730	8.68526870	1.70498262	8.75033730	3.94837273	0.79624918
0.93539378	8.74239785	8.67789521	1.73129816	8.74239785	3.94706048	0.81131878
0.94040879	8.73463535	8.67069056	1.75677609	8.73463535	3.94578095	0.82581356
0.94536654	8.72704597	8.66365141	1.78149178	8.72704597	3.94453878	0.83969096
0.95026835	8.71962592	8.65677450	1.80562911	8.71962592	3.94333836	0.85308168
0.95511544	8.71237089	8.65005674	1.82944931	8.71237089	3.94218393	0.86624414
0.95990903	8.70527641	8.64349543	1.85415063	8.70527641	3.94107967	0.87943001
0.96465029	8.69833835	8.63708801	1.87863140	8.69833835	3.94002959	0.89286271
0.96934034	8.69155287	8.63083206	1.90308477	8.69155287	3.93903756	0.90653503
0.97398029	8.68491675	8.62472520	1.92741821	8.68491675	3.93810728	0.92028804
0.97857119	8.67842704	8.61876511	1.95149277	8.67842704	3.93724228	0.93396624
0.98311406	8.67208085	8.61294958	1.97515838	8.67208085	3.93644594	0.94742057
0.98760991	8.66587547	8.60727648	1.99826499	8.66587547	3.93572152	0.96050812
0.99205969	8.65980826	8.60174376	2.02066512	8.65980826	3.93507212	0.97309182
0.99646434	8.65387670	8.59634946	2.04221598	8.65387670	3.93450074	0.98504011
