
log10(E)	xsec(nue)/E	xsec(numu)/E	xsec(nutau)/E	xsec(nuebar)/E	xsec(numubar)/E	xsec(nutaubar)/E

-2.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
-0.95825177	1.44200886	0.00000000	0.00000000	1.44200886	0.00000000	0.00000000
-0.67740824	5.30179073	3.40148831	0.00000000	5.30179073	0.93518016	0.00000000
-0.50825984	8.23344231	6.85632859	0.00000000	8.23344231	1.46868720	0.00000000
-0.38683460	10.13396073	8.62292437	0.00000000	10.13396073	1.79010676	0.00000000
-0.29204641	11.62877711	10.18474683	0.00000000	11.62877711	2.11061390	0.00000000
-0.21428549	12.62624875	11.48744616	0.00000000	12.62624875	2.43264339	0.00000000
-0.14835608	13.15244297	12.23578523	0.00000000	13.15244297	2.72442622	0.00000000
-0.09112873	13.35966465	12.57495007	0.00000000	13.35966465	2.98116658	0.00000000
-0.04057182	13.38867620	12.68867820	0.00000000	13.38867620	3.21191209	0.00000000
0.00470858	13.33540349	12.69462891	0.00000000	13.33540349	3.42242643	0.00000000
0.04571054	13.23444484	12.65255302	0.00000000	13.23444484	3.60945464	0.00000000
0.08317322	13.10579850	12.58569341	0.00000000	13.10579850	3.77180368	0.00000000
0.11765939	12.96288372	12.49869957	0.00000000	12.96288372	3.91050227	0.00000000
0.14960742	12.81021870	12.39403431	0.00000000	12.81021870	4.02730221	0.00000000
0.17936544	12.65001072	12.27556978	0.00000000	12.65001072	4.12514151	0.00000000
0.20721453	12.48435504	12.14350527	0.00000000	12.48435504	4.20620368	0.00000000
0.23338490	12.31825434	12.00344658	0.00000000	12.31825434	4.27295210	0.00000000
0.25806750	12.15617822	11.86249294	0.00000000	12.15617822	4.32778922	0.00000000
0.28142240	12.00186938	11.72581459	0.00000000	12.00186938	4.37267776	0.00000000
0.30358519	11.85718103	11.59535911	0.00000000	11.85718103	4.40923534	0.00000000
0.32467168	11.72121379	11.47181340	0.00000001	11.72121379	4.43878112	0.00000001
0.34478159	11.59333494	11.35606309	-0.00000018	11.59333494	4.46240283	-0.00000018
0.36400137	11.47363237	11.24851993	0.00000224	11.47363237	4.48101200	0.00000212
0.38240650	11.36802733	11.14825448	0.00004312	11.36802733	4.49542708	0.00004213
0.40006324	11.27025172	11.05411822	0.00021429	11.27025172	4.50636282	0.00020380
0.41703009	11.17890284	10.97081578	0.00065823	11.17890284	4.51442459	0.00061331
0.43335893	11.09188580	10.89945036	0.00148298	11.09188580	4.52012231	0.00135161
0.44909601	11.01312615	10.82589291	0.00276013	11.01312615	4.52384026	0.00245901
0.46428273	10.93937339	10.75245378	0.00446896	10.93937339	4.52585402	0.00388877
0.47895628	10.86909713	10.68282115	0.00654873	10.86909713	4.52639619	0.00555928
0.49315021	10.80089559	10.62723919	0.00892158	10.80089559	4.52567444	0.00738542
0.50689489	10.73463815	10.57240588	0.01150799	10.73463815	4.52390112	0.00928631
0.52021789	10.67052574	10.51402837	0.01427990	10.67052574	4.52127071	0.01121334
0.53314431	10.60852570	10.45724501	0.01725096	10.60852570	4.51792731	0.01314428
0.54569708	10.54856440	10.40266509	0.07497260	10.54856440	4.51398091	0.02612869
0.55789720	10.49061600	10.34939875	0.16456736	10.49061600	4.50952746	0.04924444
0.56976394	10.43464486	10.29758733	0.19877095	10.43464486	4.50464696	0.06309586
0.58131503	10.38062349	10.24740071	0.21739879	10.38062349	4.49940954	0.07350882
0.59256684	10.32846520	10.19877509	0.24590743	10.32846520	4.49387807	0.08673397
0.60353448	10.27813375	10.15165228	0.27296821	10.27813375	4.48810280	0.10061246
0.61423195	10.22952853	10.10616500	0.29886348	10.22952853	4.48215428	0.11439154
0.62467225	10.18252862	10.06216953	0.33363526	10.18252862	4.47603949	0.12884498
0.63486744	10.13705609	10.01962751	0.37774739	10.13705609	4.46979881	0.14433425
0.64482878	10.09310950	9.97854687	0.42762429	10.09310950	4.46348254	0.16092149
0.65456676	10.05068852	9.93888973	0.47786370	10.05068852	4.45712640	0.17853214
0.66409116	10.00978333	9.90052455	0.52426625	10.00978333	4.45073934	0.19703721
0.67341116	9.97038138	9.86337998	0.56708543	9.97038138	4.44434175	0.21616936
0.68253534	9.93246867	9.82741645	0.60752955	9.93246867	4.43795593	0.23569115
0.69147178	9.89602980	9.79261864	0.64695075	9.89602980	4.43159190	0.25552823
0.70022803	9.86104134	9.75898980	0.68657670	9.86104134	4.42525688	0.27564761
0.70881122	9.82744409	9.72653576	0.72709203	9.82744409	4.41895831	0.29602343
0.71722805	9.79515669	9.69526199	0.76890957	9.79515669	4.41270300	0.31663398
0.72548487	9.76410215	9.66517254	0.81177706	9.76410215	4.40649711	0.33746238
0.73358762	9.73420821	9.63627091	0.85505629	9.73420821	4.40034642	0.35849360
0.74154197	9.70540754	9.60856096	0.89848036	9.70540754	4.39425639	0.37970686
0.74935324	9.67763716	9.58202234	0.94240288	9.67763716	4.38823313	0.40107528
0.75702650	9.65083822	9.55657818	0.98722458	9.65083822	4.38228554	0.42257365
0.76456654	9.62495680	9.53214738	1.03238340	9.62495680	4.37642035	0.44416890
0.77197790	9.59994288	9.50865154	1.07712887	9.59994288	4.37063878	0.46583781
0.77926490	9.57575070	9.48601694	1.12094185	9.57575070	4.36494112	0.48752289
0.78643165	9.55234426	9.46417518	1.16335085	9.55234426	4.35932767	0.50910251
0.79348205	9.52969178	9.44306174	1.20376362	9.52969178	4.35379857	0.53046416
0.80041982	9.50776254	9.42261324	1.24236642	9.50776254	4.34835306	0.55157235
0.80724850	9.48652335	9.40276936	1.27950389	9.48652335	4.34299014	0.57243028
0.81397147	9.46594262	9.38348715	1.31537149	9.46594262	4.33771002	0.59304041
0.82059195	9.44599089	9.36474830	1.35010831	9.44599089	4.33251424	0.61340401
0.82711302	9.42663983	9.34653741	1.38401902	9.42663983	4.32740400	0.63351342
0.83353762	9.40786274	9.32883916	1.41735162	9.40786274	4.32237944	0.65336091
0.83986856	9.38963449	9.31163899	1.45011090	9.38963449	4.31744039	0.67294299
0.84610854	9.37193140	9.29492128	1.48223572	9.37193140	4.31258415	0.69225865
0.85226013	9.35473051	9.27866909	1.51369047	9.35473051	4.30780524	0.71130681
0.85832580	9.33800935	9.26286622	1.54452365	9.33800935	4.30309847	0.73008835
0.86430792	9.32174699	9.24749668	1.57480056	9.32174699	4.29845979	0.74860511
0.87020876	9.30592495	9.23254511	1.60458205	9.30592495	4.29388567	0.76685704
0.87603050	9.29052594	9.21799722	1.63389598	9.29052594	4.28937320	0.78484079
0.88177522	9.27553327	9.20383849	1.66275359	9.27553327	4.28492168	0.80255284
0.88744495	9.26093042	9.19005483	1.69116514	9.26093042	4.28053102	0.81999015
0.89304161	9.24670144	9.17663188	1.71914389	9.24670144	4.27620112	0.83715159
0.89856707	9.23283107	9.16355437	1.74670651	9.23283107	4.27193198	0.85403796
0.90402311	9.21930457	9.15080784	1.77387489	9.21930457	4.26772355	0.87065614
0.90941145	9.20610785	9.13837784	1.80067794	9.20610785	4.26357581	0.88702355
0.91473376	9.19322773	9.12624964	1.82714014	9.19322773	4.25948868	0.90315826
0.91999163	9.18065247	9.11440905	1.85349600	9.18065247	4.25546212	0.91907140
0.92518661	9.16837122	9.10284339	1.88147231	9.16837122	4.25149608	0.93475533
0.93032018	9.15637371	9.09154214	1.90771732	9.15637371	4.24759052	0.95019984
0.93539378	9.14465026	9.08049540	1.93338873	9.14465026	4.24374541	0.96539663
0.94040879	9.13319169	9.06969359	1.95856827	9.13319169	4.23996070	0.98034426
0.94536654	9.12198922	9.05912716	1.98331230	9.12198922	4.23623630	0.99504440
0.95026835	9.11103437	9.04878691	2.00766311	9.11103437	4.23257210	1.00949926
0.95511544	9.10031829	9.03866409	2.03166514	9.10031829	4.22896804	1.02371829
0.95990903	9.08983223	9.02875056	2.05631666	9.08983223	4.22542416	1.03772060
0.96465029	9.07956793	9.01903860	2.08034485	9.07956793	4.22194055	1.05152522
0.96934034	9.06951760	9.00952081	2.10400318	9.06951760	4.21851732	1.06514841
0.97398029	9.05967427	9.00019006	2.12736935	9.05967427	4.21515453	1.07859230
0.97857119	9.05003134	8.99103949	2.15045400	9.05003134	4.21185227	1.09185266
0.98311406	9.04058249	8.98206251	2.17325031	9.04058249	4.20861061	1.10492540
0.98760991	9.03132165	8.97325282	2.19574560	9.03132165	4.20542961	1.11780661
0.99205969	9.02224301	8.96460436	2.21792416	9.02224301	4.20230936	1.13049251
0.99646434	9.01334099	8.95611132	2.23976962	9.01334099	4.19924990	1.14297951
