DeltaAlphaT Panel Ext Data Fig.6;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

Pad (a)
1;0.000;10.000;0.591;0.041
2;10.000;20.000;0.626;0.040
3;20.000;30.000;0.627;0.040
4;30.000;40.000;0.621;0.040
5;40.000;50.000;0.632;0.040
6;50.000;60.000;0.670;0.043
7;60.000;70.000;0.715;0.046
8;70.000;80.000;0.750;0.049
9;80.000;90.000;0.836;0.054
10;90.000;100.000;0.910;0.058
11;100.000;110.000;1.018;0.065
12;110.000;120.000;1.173;0.075
13;120.000;130.000;1.348;0.087
14;130.000;140.000;1.536;0.099
15;140.000;150.000;1.629;0.110
16;150.000;160.000;1.590;0.112
17;160.000;170.000;1.432;0.104
18;170.000;180.000;1.223;0.080

Pad (b)
1;0.000;10.000;0.327;0.021
2;10.000;20.000;0.329;0.021
3;20.000;30.000;0.323;0.021
4;30.000;40.000;0.326;0.021
5;40.000;50.000;0.334;0.021
6;50.000;60.000;0.342;0.022
7;60.000;70.000;0.363;0.023
8;70.000;80.000;0.385;0.025
9;80.000;90.000;0.413;0.026
10;90.000;100.000;0.460;0.029
11;100.000;110.000;0.522;0.033
12;110.000;120.000;0.600;0.038
13;120.000;130.000;0.710;0.045
14;130.000;140.000;0.887;0.056
15;140.000;150.000;1.079;0.069
16;150.000;160.000;1.242;0.079
17;160.000;170.000;1.177;0.075
18;170.000;180.000;0.994;0.063

Pad (d)
1;0.000;10.000;1.100;0.073
2;10.000;20.000;1.076;0.071
3;20.000;30.000;1.056;0.070
4;30.000;40.000;1.073;0.072
5;40.000;50.000;1.096;0.072
6;50.000;60.000;1.148;0.077
7;60.000;70.000;1.238;0.082
8;70.000;80.000;1.351;0.089
9;80.000;90.000;1.494;0.099
10;90.000;100.000;1.708;0.113
11;100.000;110.000;2.034;0.135
12;110.000;120.000;2.490;0.163
13;120.000;130.000;3.090;0.202
14;130.000;140.000;4.036;0.263
15;140.000;150.000;5.496;0.356
16;150.000;160.000;6.863;0.444
17;160.000;170.000;6.354;0.414
18;170.000;180.000;5.054;0.331

Pad (c). Cross sections scaled by 2
1;0.000;10.000;0.191;0.018
2;10.000;20.000;0.216;0.017
3;20.000;30.000;0.203;0.016
4;30.000;40.000;0.207;0.016
5;40.000;50.000;0.213;0.017
6;50.000;60.000;0.219;0.017
7;60.000;70.000;0.233;0.018
8;70.000;80.000;0.250;0.019
9;80.000;90.000;0.263;0.021
10;90.000;100.000;0.304;0.024
11;100.000;110.000;0.364;0.028
12;110.000;120.000;0.411;0.032
13;120.000;130.000;0.467;0.037
14;130.000;140.000;0.632;0.050
15;140.000;150.000;0.870;0.070
16;150.000;160.000;1.182;0.092
17;160.000;170.000;1.532;0.123
18;170.000;180.000;1.266;0.098

Pad (e). Cross sections scaled by 2
1;0.000;10.000;0.656;0.063
2;10.000;20.000;0.646;0.065
3;20.000;30.000;0.673;0.065
4;30.000;40.000;0.585;0.062
5;40.000;50.000;0.637;0.064
6;50.000;60.000;0.791;0.106
7;60.000;70.000;0.741;0.077
8;70.000;80.000;0.822;0.090
9;80.000;90.000;0.983;0.097
10;90.000;100.000;1.077;0.102
11;100.000;110.000;1.320;0.133
12;110.000;120.000;1.466;0.149
13;120.000;130.000;1.658;0.168
14;130.000;140.000;2.705;0.265
15;140.000;150.000;3.741;0.350
16;150.000;160.000;5.942;0.533
17;160.000;170.000;7.179;0.663
18;170.000;180.000;6.361;0.586

