DeltaPhiT Panel Ext Data Fig.6;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

Pad (f)
1;0.000;10.000;7.041;0.452
2;10.000;20.000;4.185;0.266
3;20.000;30.000;2.066;0.131
4;30.000;40.000;1.243;0.079
5;40.000;50.000;0.835;0.053
6;50.000;60.000;0.598;0.038
7;60.000;70.000;0.445;0.028
8;70.000;80.000;0.326;0.021
9;80.000;90.000;0.266;0.017
10;90.000;100.000;0.204;0.013
11;100.000;110.000;0.179;0.012
12;110.000;120.000;0.143;0.009
13;120.000;130.000;0.130;0.009
14;130.000;140.000;0.106;0.007
15;140.000;150.000;0.108;0.009
16;150.000;160.000;0.085;0.007
17;160.000;170.000;0.080;0.006
18;170.000;180.000;0.070;0.005

Pad (g)
1;0.000;10.000;4.668;0.301
2;10.000;20.000;2.014;0.129
3;20.000;30.000;1.113;0.071
4;30.000;40.000;0.745;0.048
5;40.000;50.000;0.547;0.035
6;50.000;60.000;0.397;0.025
7;60.000;70.000;0.306;0.020
8;70.000;80.000;0.236;0.015
9;80.000;90.000;0.181;0.012
10;90.000;100.000;0.149;0.010
11;100.000;110.000;0.129;0.008
12;110.000;120.000;0.110;0.007
13;120.000;130.000;0.093;0.006
14;130.000;140.000;0.070;0.005
15;140.000;150.000;0.032;0.002
16;150.000;160.000;0.017;0.002
17;160.000;170.000;0.036;0.002
18;170.000;180.000;0.047;0.003

Pad (i)
1;0.000;10.000;15.131;0.980
2;10.000;20.000;8.258;0.538
3;20.000;30.000;5.216;0.345
4;30.000;40.000;3.870;0.258
5;40.000;50.000;3.071;0.203
6;50.000;60.000;2.360;0.155
7;60.000;70.000;1.899;0.128
8;70.000;80.000;1.528;0.104
9;80.000;90.000;1.313;0.094
10;90.000;100.000;1.158;0.087
11;100.000;110.000;0.993;0.069
12;110.000;120.000;0.813;0.057
13;120.000;130.000;0.712;0.051
14;130.000;140.000;0.609;0.048
15;140.000;150.000;0.432;0.047
16;150.000;160.000;0.328;0.040
17;160.000;170.000;0.403;0.037
18;170.000;180.000;0.413;0.034

Pad (h). Cross sections scaled by 2
1;0.000;10.000;3.940;0.334
2;10.000;20.000;1.617;0.134
3;20.000;30.000;0.964;0.088
4;30.000;40.000;0.689;0.063
5;40.000;50.000;0.486;0.042
6;50.000;60.000;0.387;0.037
7;60.000;70.000;0.301;0.027
8;70.000;80.000;0.257;0.024
9;80.000;90.000;0.199;0.026
10;90.000;100.000;0.158;0.015
11;100.000;110.000;0.145;0.020
12;110.000;120.000;0.110;0.012
13;120.000;130.000;0.086;0.014
14;130.000;140.000;0.012;0.011
15;140.000;150.000;-0.006;0.078
16;150.000;160.000;-0.143;0.153
17;160.000;170.000;-0.120;0.122
18;170.000;180.000;-0.043;0.064

Pad (j). Cross sections scaled by 2
1;0.000;10.000;14.023;1.177
2;10.000;20.000;7.050;0.597
3;20.000;30.000;5.052;0.494
4;30.000;40.000;3.703;0.368
5;40.000;50.000;3.188;0.293
6;50.000;60.000;2.243;0.231
7;60.000;70.000;1.883;0.192
8;70.000;80.000;1.761;0.207
9;80.000;90.000;1.334;0.191
10;90.000;100.000;1.173;0.199
11;100.000;110.000;0.938;0.182
12;110.000;120.000;0.733;0.103
13;120.000;130.000;0.475;0.112
14;130.000;140.000;0.366;0.116
15;140.000;150.000;-0.732;0.198
16;150.000;160.000;-2.216;0.249
17;160.000;170.000;-2.076;0.199
18;170.000;180.000;-0.757;0.102

