ECal Panel Fig.3;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

Pad (a). Cross sections scaled by 0.5
1;0.480;0.520;0.005;0.000
2;0.520;0.560;0.013;0.001
3;0.560;0.600;0.021;0.001
4;0.600;0.640;0.028;0.002
5;0.640;0.680;0.035;0.003
6;0.680;0.720;0.043;0.003
7;0.720;0.760;0.052;0.004
8;0.760;0.800;0.064;0.004
9;0.800;0.840;0.075;0.005
10;0.840;0.880;0.086;0.005
11;0.880;0.920;0.095;0.006
12;0.920;0.960;0.099;0.006
13;0.960;1.000;0.106;0.007
14;1.000;1.040;0.094;0.006
15;1.040;1.080;0.111;0.007
16;1.080;1.100;0.154;0.011
17;1.100;1.120;0.217;0.016
18;1.120;1.140;0.311;0.022
19;1.140;1.160;0.531;0.038
20;1.160;1.180;0.841;0.060
21;1.180;1.200;0.380;0.027
22;1.200;1.220;0.106;0.008
23;1.220;1.240;0.044;0.003

Pad (b)
1;0.630;0.720;0.004;0.000
2;0.720;0.810;0.010;0.001
3;0.810;0.900;0.014;0.001
4;0.900;0.990;0.018;0.001
5;0.990;1.080;0.021;0.001
6;1.080;1.170;0.025;0.002
7;1.170;1.260;0.030;0.002
8;1.260;1.350;0.035;0.002
9;1.350;1.440;0.041;0.003
10;1.440;1.530;0.046;0.003
11;1.530;1.620;0.052;0.003
12;1.620;1.710;0.057;0.004
13;1.710;1.800;0.066;0.004
14;1.800;1.890;0.072;0.005
15;1.890;1.980;0.082;0.005
16;1.980;2.070;0.084;0.005
17;2.070;2.100;0.093;0.010
18;2.100;2.130;0.083;0.009
19;2.130;2.160;0.076;0.008
20;2.160;2.190;0.092;0.010
21;2.190;2.220;0.131;0.014
22;2.220;2.250;0.234;0.024
23;2.250;2.280;0.786;0.082
24;2.280;2.310;0.105;0.011
25;2.310;2.340;0.008;0.001
26;2.340;2.370;0.001;0.000
27;2.370;2.400;0.000;0.000

Pad (d)
1;0.630;0.720;0.031;0.004
2;0.720;0.810;0.070;0.007
3;0.810;0.900;0.095;0.008
4;0.900;0.990;0.109;0.008
5;0.990;1.080;0.133;0.010
6;1.080;1.170;0.163;0.011
7;1.170;1.260;0.185;0.013
8;1.260;1.350;0.202;0.014
9;1.350;1.440;0.227;0.015
10;1.440;1.530;0.242;0.016
11;1.530;1.620;0.274;0.018
12;1.620;1.710;0.295;0.019
13;1.710;1.800;0.329;0.022
14;1.800;1.890;0.342;0.022
15;1.890;1.980;0.363;0.024
16;1.980;2.070;0.374;0.025
17;2.070;2.100;0.389;0.040
18;2.100;2.130;0.358;0.036
19;2.130;2.160;0.338;0.034
20;2.160;2.190;0.380;0.038
21;2.190;2.220;0.495;0.050
22;2.220;2.250;0.774;0.078
23;2.250;2.280;2.099;0.210
24;2.280;2.310;0.336;0.034
25;2.310;2.340;0.027;0.004
26;2.340;2.370;0.000;0.000
27;2.370;2.400;0.000;0.000

Pad (c). Cross sections scaled by 5
1;1.400;1.600;0.004;0.001
2;1.600;1.800;0.007;0.001
3;1.800;2.000;0.011;0.001
4;2.000;2.200;0.019;0.002
5;2.200;2.400;0.029;0.002
6;2.400;2.600;0.036;0.003
7;2.600;2.800;0.046;0.004
8;2.800;3.000;0.059;0.005
9;3.000;3.200;0.067;0.005
10;3.200;3.400;0.079;0.006
11;3.400;3.600;0.082;0.006
12;3.600;3.800;0.082;0.006
13;3.800;4.000;0.089;0.007
14;4.000;4.200;0.107;0.008
15;4.200;4.250;0.114;0.010
16;4.250;4.300;0.140;0.012
17;4.300;4.350;0.131;0.011
18;4.350;4.400;0.150;0.013
19;4.400;4.450;0.348;0.030
20;4.450;4.500;1.005;0.087
21;4.500;4.550;0.069;0.006
22;4.550;4.600;0.004;0.000

Pad (e). Cross sections scaled by 5
1;1.400;1.600;0.032;0.010
2;1.600;1.800;0.049;0.010
3;1.800;2.000;0.082;0.014
4;2.000;2.200;0.127;0.018
5;2.200;2.400;0.173;0.022
6;2.400;2.600;0.186;0.023
7;2.600;2.800;0.274;0.027
8;2.800;3.000;0.321;0.030
9;3.000;3.200;0.363;0.034
10;3.200;3.400;0.365;0.032
11;3.400;3.600;0.385;0.033
12;3.600;3.800;0.340;0.029
13;3.800;4.000;0.351;0.030
14;4.000;4.200;0.398;0.034
15;4.200;4.250;0.369;0.038
16;4.250;4.300;0.461;0.047
17;4.300;4.350;0.491;0.050
18;4.350;4.400;0.528;0.051
19;4.400;4.450;1.065;0.096
20;4.450;4.500;2.711;0.246
21;4.500;4.550;0.214;0.025
22;4.550;4.600;0.051;0.016

