ECal Slices at 2.257 GeV Fig.3;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

Pad (c)
1;0.630;0.720;0.002;0.000
2;0.720;0.810;0.004;0.000
3;0.810;0.900;0.006;0.001
4;0.900;0.990;0.009;0.001
5;0.990;1.080;0.011;0.001
6;1.080;1.170;0.014;0.001
7;1.170;1.260;0.017;0.001
8;1.260;1.350;0.021;0.001
9;1.350;1.440;0.024;0.002
10;1.440;1.530;0.028;0.002
11;1.530;1.620;0.032;0.002
12;1.620;1.710;0.036;0.002
13;1.710;1.800;0.039;0.003
14;1.800;1.890;0.039;0.003
15;1.890;1.980;0.036;0.002
16;1.980;2.070;0.034;0.002
17;2.070;2.100;0.036;0.002
18;2.100;2.130;0.035;0.003
19;2.130;2.160;0.033;0.002
20;2.160;2.190;0.028;0.002
21;2.190;2.220;0.023;0.002
22;2.220;2.250;0.014;0.001
23;2.250;2.280;0.004;0.000
24;2.280;2.310;0.000;0.000
25;2.310;2.340;0.000;0.000
26;2.340;2.370;0.000;0.000
27;2.370;2.400;0.000;0.000

Pad (b)
1;0.630;0.720;0.001;0.000
2;0.720;0.810;0.002;0.000
3;0.810;0.900;0.003;0.000
4;0.900;0.990;0.004;0.000
5;0.990;1.080;0.005;0.000
6;1.080;1.170;0.007;0.000
7;1.170;1.260;0.008;0.000
8;1.260;1.350;0.009;0.001
9;1.350;1.440;0.010;0.001
10;1.440;1.530;0.012;0.001
11;1.530;1.620;0.013;0.001
12;1.620;1.710;0.016;0.001
13;1.710;1.800;0.021;0.001
14;1.800;1.890;0.028;0.002
15;1.890;1.980;0.034;0.002
16;1.980;2.070;0.032;0.002
17;2.070;2.100;0.029;0.002
18;2.100;2.130;0.028;0.002
19;2.130;2.160;0.033;0.002
20;2.160;2.190;0.043;0.003
21;2.190;2.220;0.056;0.004
22;2.220;2.250;0.070;0.005
23;2.250;2.280;0.109;0.007
24;2.280;2.310;0.017;0.001
25;2.310;2.340;0.001;0.000
26;2.340;2.370;0.000;0.000
27;2.370;2.400;0.000;0.000

Pad (a)
1;0.630;0.720;0.001;0.000
2;0.720;0.810;0.002;0.000
3;0.810;0.900;0.003;0.000
4;0.900;0.990;0.003;0.000
5;0.990;1.080;0.003;0.000
6;1.080;1.170;0.004;0.000
7;1.170;1.260;0.004;0.000
8;1.260;1.350;0.005;0.000
9;1.350;1.440;0.006;0.000
10;1.440;1.530;0.006;0.000
11;1.530;1.620;0.007;0.000
12;1.620;1.710;0.007;0.000
13;1.710;1.800;0.008;0.001
14;1.800;1.890;0.009;0.001
15;1.890;1.980;0.014;0.001
16;1.980;2.070;0.023;0.001
17;2.070;2.100;0.034;0.002
18;2.100;2.130;0.027;0.002
19;2.130;2.160;0.012;0.001
20;2.160;2.190;0.018;0.001
21;2.190;2.220;0.043;0.003
22;2.220;2.250;0.155;0.010
23;2.250;2.280;0.675;0.043
24;2.280;2.310;0.085;0.006
25;2.310;2.340;0.007;0.001
26;2.340;2.370;0.001;0.000
27;2.370;2.400;0.000;0.000

