EQE Fig.2;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

1;0.440;0.480;0.007;0.000
2;0.480;0.520;0.042;0.003
3;0.520;0.560;0.084;0.005
4;0.560;0.600;0.130;0.008
5;0.600;0.640;0.171;0.011
6;0.640;0.680;0.208;0.013
7;0.680;0.720;0.241;0.016
8;0.720;0.760;0.271;0.018
9;0.760;0.800;0.300;0.019
10;0.800;0.840;0.324;0.021
11;0.840;0.880;0.336;0.021
12;0.880;0.920;0.341;0.022
13;0.920;0.960;0.340;0.022
14;0.960;1.000;0.352;0.023
15;1.000;1.040;0.391;0.025
16;1.040;1.080;0.471;0.030
17;1.080;1.100;0.546;0.035
18;1.100;1.120;0.613;0.039
19;1.120;1.140;0.673;0.043
20;1.140;1.160;0.723;0.046
21;1.160;1.180;0.761;0.048
22;1.180;1.200;0.748;0.047
23;1.200;1.220;0.708;0.045
24;1.220;1.240;0.641;0.041
25;1.240;1.260;0.568;0.036
26;1.260;1.280;0.470;0.030
27;1.280;1.300;0.364;0.023
28;1.300;1.320;0.307;0.020
29;1.320;1.340;0.267;0.021
30;1.340;1.360;0.238;0.026
31;1.360;1.380;0.211;0.028
32;1.380;1.400;0.195;0.034

