EQE Panel;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

Pad (a). Cross sections scaled by 0.5
1;0.440;0.480;0.003;0.000
2;0.480;0.520;0.021;0.001
3;0.520;0.560;0.042;0.003
4;0.560;0.600;0.065;0.004
5;0.600;0.640;0.086;0.005
6;0.640;0.680;0.104;0.007
7;0.680;0.720;0.121;0.008
8;0.720;0.760;0.136;0.009
9;0.760;0.800;0.150;0.010
10;0.800;0.840;0.162;0.010
11;0.840;0.880;0.168;0.011
12;0.880;0.920;0.170;0.011
13;0.920;0.960;0.170;0.011
14;0.960;1.000;0.176;0.011
15;1.000;1.040;0.195;0.012
16;1.040;1.080;0.236;0.015
17;1.080;1.100;0.273;0.017
18;1.100;1.120;0.307;0.019
19;1.120;1.140;0.336;0.021
20;1.140;1.160;0.362;0.023
21;1.160;1.180;0.381;0.024
22;1.180;1.200;0.374;0.024
23;1.200;1.220;0.354;0.022
24;1.220;1.240;0.321;0.020
25;1.240;1.260;0.284;0.018
26;1.260;1.280;0.235;0.015
27;1.280;1.300;0.182;0.012
28;1.300;1.320;0.154;0.010
29;1.320;1.340;0.133;0.010
30;1.340;1.360;0.119;0.013
31;1.360;1.380;0.105;0.014
32;1.380;1.400;0.098;0.017

Pad (b)
1;0.630;0.720;0.009;0.001
2;0.720;0.810;0.028;0.002
3;0.810;0.900;0.040;0.003
4;0.900;0.990;0.048;0.003
5;0.990;1.080;0.055;0.004
6;1.080;1.170;0.062;0.004
7;1.170;1.260;0.068;0.004
8;1.260;1.350;0.074;0.005
9;1.350;1.440;0.078;0.005
10;1.440;1.530;0.083;0.005
11;1.530;1.620;0.090;0.006
12;1.620;1.710;0.098;0.006
13;1.710;1.800;0.111;0.007
14;1.800;1.890;0.124;0.008
15;1.890;1.980;0.135;0.009
16;1.980;2.070;0.146;0.009
17;2.070;2.100;0.157;0.010
18;2.100;2.130;0.165;0.011
19;2.130;2.160;0.171;0.011
20;2.160;2.190;0.179;0.011
21;2.190;2.220;0.189;0.012
22;2.220;2.250;0.196;0.012
23;2.250;2.280;0.196;0.013
24;2.280;2.310;0.189;0.012
25;2.310;2.340;0.179;0.011
26;2.340;2.370;0.163;0.010
27;2.370;2.400;0.146;0.009
28;2.400;2.430;0.123;0.008
29;2.430;2.460;0.098;0.006
30;2.460;2.490;0.077;0.005
31;2.490;2.520;0.061;0.004
32;2.520;2.550;0.048;0.003
33;2.550;2.580;0.040;0.003
34;2.580;2.610;0.031;0.002

Pad (d)
1;0.630;0.720;0.057;0.004
2;0.720;0.810;0.183;0.012
3;0.810;0.900;0.260;0.017
4;0.900;0.990;0.319;0.021
5;0.990;1.080;0.350;0.023
6;1.080;1.170;0.397;0.026
7;1.170;1.260;0.425;0.027
8;1.260;1.350;0.448;0.029
9;1.350;1.440;0.459;0.029
10;1.440;1.530;0.489;0.031
11;1.530;1.620;0.514;0.033
12;1.620;1.710;0.541;0.035
13;1.710;1.800;0.579;0.037
14;1.800;1.890;0.629;0.040
15;1.890;1.980;0.679;0.043
16;1.980;2.070;0.709;0.045
17;2.070;2.100;0.736;0.048
18;2.100;2.130;0.770;0.050
19;2.130;2.160;0.772;0.050
20;2.160;2.190;0.794;0.051
21;2.190;2.220;0.810;0.052
22;2.220;2.250;0.827;0.054
23;2.250;2.280;0.795;0.051
24;2.280;2.310;0.796;0.052
25;2.310;2.340;0.743;0.048
26;2.340;2.370;0.695;0.045
27;2.370;2.400;0.637;0.042
28;2.400;2.430;0.541;0.035
29;2.430;2.460;0.456;0.030
30;2.460;2.490;0.350;0.023
31;2.490;2.520;0.273;0.019
32;2.520;2.550;0.227;0.016
33;2.550;2.580;0.180;0.013
34;2.580;2.610;0.144;0.011

Pad (c). Cross sections scaled by 5
1;1.800;2.000;0.012;0.001
2;2.000;2.200;0.026;0.002
3;2.200;2.400;0.047;0.004
4;2.400;2.600;0.092;0.007
5;2.600;2.800;0.114;0.009
6;2.800;3.000;0.126;0.010
7;3.000;3.200;0.138;0.011
8;3.200;3.400;0.149;0.011
9;3.400;3.600;0.160;0.012
10;3.600;3.800;0.169;0.013
11;3.800;4.000;0.192;0.015
12;4.000;4.200;0.221;0.017
13;4.200;4.250;0.244;0.020
14;4.250;4.300;0.249;0.020
15;4.300;4.350;0.245;0.021
16;4.350;4.400;0.254;0.022
17;4.400;4.450;0.251;0.021
18;4.450;4.500;0.244;0.022
19;4.500;4.550;0.242;0.021
20;4.550;4.600;0.220;0.020
21;4.600;4.650;0.198;0.019
22;4.650;4.700;0.173;0.017
23;4.700;4.750;0.148;0.016
24;4.750;4.800;0.130;0.014
25;4.800;4.850;0.102;0.012
26;4.850;4.900;0.079;0.011
27;4.900;4.950;0.061;0.010
28;4.950;5.000;0.046;0.008
29;5.000;5.050;0.039;0.006

Pad (e). Cross sections scaled by 5
1;1.800;2.000;0.076;0.010
2;2.000;2.200;0.154;0.014
3;2.200;2.400;0.280;0.023
4;2.400;2.600;0.580;0.046
5;2.600;2.800;0.717;0.057
6;2.800;3.000;0.745;0.059
7;3.000;3.200;0.850;0.067
8;3.200;3.400;0.855;0.068
9;3.400;3.600;0.920;0.073
10;3.600;3.800;0.937;0.074
11;3.800;4.000;0.974;0.077
12;4.000;4.200;1.059;0.085
13;4.200;4.250;1.076;0.096
14;4.250;4.300;1.067;0.095
15;4.300;4.350;1.031;0.092
16;4.350;4.400;1.051;0.095
17;4.400;4.450;1.046;0.094
18;4.450;4.500;1.019;0.094
19;4.500;4.550;0.974;0.091
20;4.550;4.600;0.933;0.088
21;4.600;4.650;0.829;0.081
22;4.650;4.700;0.706;0.073
23;4.700;4.750;0.723;0.078
24;4.750;4.800;0.615;0.069
25;4.800;4.850;0.462;0.054
26;4.850;4.900;0.367;0.048
27;4.900;4.950;0.232;0.037
28;4.950;5.000;0.173;0.032
29;5.000;5.050;0.172;0.031

