Energy Resolution Panel Ext Data Fig.4;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

12C 1_161 GeV pad (a)
1;-0.655;-0.621;0.000;0.000
2;-0.621;-0.587;0.000;0.000
3;-0.587;-0.552;0.001;0.000
4;-0.552;-0.518;0.003;0.000
5;-0.518;-0.483;0.005;0.000
6;-0.483;-0.449;0.008;0.001
7;-0.449;-0.414;0.011;0.001
8;-0.414;-0.380;0.014;0.001
9;-0.380;-0.345;0.018;0.001
10;-0.345;-0.311;0.023;0.001
11;-0.311;-0.276;0.027;0.002
12;-0.276;-0.242;0.031;0.002
13;-0.242;-0.208;0.035;0.002
14;-0.208;-0.173;0.040;0.003
15;-0.173;-0.139;0.044;0.003
16;-0.139;-0.104;0.048;0.003
17;-0.104;-0.070;0.062;0.004
18;-0.070;-0.053;0.085;0.005
19;-0.053;-0.035;0.117;0.007
20;-0.035;-0.018;0.179;0.011
21;-0.018;-0.001;0.251;0.016
22;-0.001;0.016;0.252;0.016
23;0.016;0.034;0.145;0.009
24;0.034;0.051;0.047;0.003
25;0.051;0.068;0.011;0.001

12C 2_261 GeV pad (a)
1;-0.721;-0.682;0.003;0.000
2;-0.682;-0.642;0.006;0.000
3;-0.642;-0.602;0.009;0.001
4;-0.602;-0.562;0.011;0.001
5;-0.562;-0.522;0.013;0.001
6;-0.522;-0.483;0.014;0.001
7;-0.483;-0.443;0.016;0.001
8;-0.443;-0.403;0.018;0.001
9;-0.403;-0.363;0.020;0.001
10;-0.363;-0.323;0.021;0.001
11;-0.323;-0.284;0.023;0.001
12;-0.284;-0.244;0.024;0.002
13;-0.244;-0.204;0.026;0.002
14;-0.204;-0.164;0.029;0.002
15;-0.164;-0.124;0.031;0.002
16;-0.124;-0.084;0.032;0.002
17;-0.084;-0.071;0.032;0.002
18;-0.071;-0.058;0.032;0.002
19;-0.058;-0.045;0.036;0.002
20;-0.045;-0.031;0.046;0.003
21;-0.031;-0.018;0.070;0.004
22;-0.018;-0.005;0.145;0.009
23;-0.005;0.008;0.209;0.013
24;0.008;0.022;0.039;0.002
25;0.022;0.035;0.002;0.000
26;0.035;0.048;0.000;0.000
27;0.048;0.061;0.000;0.000

12C 4_461 GeV pad (a)
1;-0.731;-0.686;0.001;0.000
2;-0.686;-0.641;0.003;0.000
3;-0.641;-0.597;0.005;0.000
4;-0.597;-0.552;0.007;0.001
5;-0.552;-0.507;0.011;0.001
6;-0.507;-0.462;0.015;0.001
7;-0.462;-0.417;0.016;0.001
8;-0.417;-0.372;0.018;0.001
9;-0.372;-0.328;0.019;0.001
10;-0.328;-0.283;0.019;0.001
11;-0.283;-0.238;0.020;0.002
12;-0.238;-0.193;0.019;0.001
13;-0.193;-0.148;0.018;0.001
14;-0.148;-0.103;0.018;0.001
15;-0.103;-0.059;0.020;0.002
16;-0.059;-0.047;0.022;0.002
17;-0.047;-0.036;0.022;0.002
18;-0.036;-0.025;0.025;0.002
19;-0.025;-0.014;0.040;0.003
20;-0.014;-0.002;0.090;0.007
21;-0.002;0.009;0.090;0.007
22;0.009;0.020;0.016;0.001
23;0.020;0.031;0.002;0.000
24;0.031;0.042;0.000;0.000
25;0.042;0.054;0.000;0.000
26;0.054;0.065;0.000;0.000

12C 1_161 GeV pad (b)
1;-0.655;-0.621;0.000;0.000
2;-0.621;-0.587;0.003;0.000
3;-0.587;-0.552;0.022;0.001
4;-0.552;-0.518;0.034;0.002
5;-0.518;-0.483;0.041;0.003
6;-0.483;-0.449;0.049;0.003
7;-0.449;-0.414;0.058;0.004
8;-0.414;-0.380;0.067;0.004
9;-0.380;-0.345;0.076;0.005
10;-0.345;-0.311;0.084;0.005
11;-0.311;-0.276;0.092;0.006
12;-0.276;-0.242;0.097;0.006
13;-0.242;-0.208;0.102;0.006
14;-0.208;-0.173;0.107;0.007
15;-0.173;-0.139;0.118;0.007
16;-0.139;-0.104;0.134;0.008
17;-0.104;-0.070;0.160;0.010
18;-0.070;-0.053;0.184;0.012
19;-0.053;-0.035;0.200;0.013
20;-0.035;-0.018;0.215;0.014
21;-0.018;-0.001;0.225;0.014
22;-0.001;0.016;0.229;0.014
23;0.016;0.034;0.223;0.014
24;0.034;0.051;0.211;0.013
25;0.051;0.068;0.190;0.012
26;0.068;0.085;0.164;0.010
27;0.085;0.102;0.134;0.008
28;0.102;0.120;0.103;0.007
29;0.120;0.137;0.080;0.005
30;0.137;0.154;0.060;0.004
31;0.154;0.171;0.046;0.003
32;0.171;0.189;0.035;0.002
33;0.189;0.206;0.026;0.002
34;0.206;0.223;0.019;0.001

