Inclusive JLab Cross Section Ext Data Fig.3;

Bin #;Low bin edge; High bin edge;XSec [μbarn/(sr GeV)];XSec error [μbarn/(sr GeV)]

1;0.096;0.128;0.258;0.082
2;0.128;0.160;0.987;0.084
3;0.160;0.192;2.055;0.139
4;0.192;0.224;3.071;0.203
5;0.224;0.256;3.651;0.239
6;0.256;0.288;3.714;0.243
7;0.288;0.320;3.122;0.205
8;0.320;0.352;2.556;0.169
9;0.352;0.384;2.268;0.160
10;0.384;0.416;2.545;0.175
11;0.416;0.448;2.635;0.174
12;0.448;0.480;3.402;0.226
13;0.480;0.512;3.453;0.227
14;0.512;0.544;3.380;0.223
15;0.544;0.576;3.471;0.233
16;0.576;0.608;3.292;0.219
17;0.608;0.640;3.112;0.206
18;0.640;0.672;2.709;0.180
19;0.672;0.704;2.763;0.183
20;0.704;0.736;2.894;0.191

