PT Panel Ext Data Fig.5;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

Pad (a)
1;0.000;0.050;0.214;0.014
2;0.050;0.100;0.560;0.036
3;0.100;0.150;0.666;0.043
4;0.150;0.200;0.551;0.036
5;0.200;0.250;0.384;0.025
6;0.250;0.300;0.259;0.018
7;0.300;0.350;0.196;0.014
8;0.350;0.400;0.155;0.011
9;0.400;0.450;0.123;0.009
10;0.450;0.500;0.102;0.007
11;0.500;0.550;0.081;0.005
12;0.550;0.600;0.069;0.004
13;0.600;0.650;0.061;0.004
14;0.650;0.700;0.052;0.004
15;0.700;0.750;0.044;0.005
16;0.750;0.800;0.045;0.012
17;0.800;0.850;0.016;0.009
18;0.850;0.900;0.009;0.024
19;0.900;0.950;0.001;0.002
20;0.950;1.000;0.001;0.001

Pad (b)
1;0.000;0.050;0.091;0.006
2;0.050;0.100;0.245;0.016
3;0.100;0.150;0.293;0.019
4;0.150;0.200;0.244;0.016
5;0.200;0.250;0.184;0.012
6;0.250;0.300;0.150;0.010
7;0.300;0.350;0.135;0.009
8;0.350;0.400;0.125;0.008
9;0.400;0.450;0.111;0.007
10;0.450;0.500;0.098;0.006
11;0.500;0.550;0.084;0.005
12;0.550;0.600;0.073;0.005
13;0.600;0.650;0.063;0.004
14;0.650;0.700;0.054;0.003
15;0.700;0.750;0.046;0.003
16;0.750;0.800;0.040;0.003
17;0.800;0.850;0.033;0.002
18;0.850;0.900;0.029;0.002
19;0.900;0.950;0.025;0.002
20;0.950;1.000;0.021;0.001

Pad (d)
1;0.000;0.050;0.259;0.018
2;0.050;0.100;0.669;0.044
3;0.100;0.150;0.902;0.059
4;0.150;0.200;0.876;0.057
5;0.200;0.250;0.709;0.046
6;0.250;0.300;0.632;0.042
7;0.300;0.350;0.626;0.041
8;0.350;0.400;0.578;0.038
9;0.400;0.450;0.549;0.036
10;0.450;0.500;0.525;0.035
11;0.500;0.550;0.466;0.031
12;0.550;0.600;0.435;0.029
13;0.600;0.650;0.378;0.026
14;0.650;0.700;0.331;0.023
15;0.700;0.750;0.304;0.021
16;0.750;0.800;0.280;0.019
17;0.800;0.850;0.246;0.018
18;0.850;0.900;0.225;0.017
19;0.900;0.950;0.187;0.013
20;0.950;1.000;0.150;0.011

Pad (c). Cross sections scaled by 4
1;0.000;0.050;0.123;0.010
2;0.050;0.100;0.326;0.025
3;0.100;0.150;0.366;0.028
4;0.150;0.200;0.281;0.022
5;0.200;0.250;0.196;0.015
6;0.250;0.300;0.161;0.014
7;0.300;0.350;0.152;0.014
8;0.350;0.400;0.150;0.014
9;0.400;0.450;0.149;0.014
10;0.450;0.500;0.146;0.014
11;0.500;0.550;0.139;0.013
12;0.550;0.600;0.137;0.013
13;0.600;0.650;0.130;0.012
14;0.650;0.700;0.121;0.011
15;0.700;0.750;0.122;0.010
16;0.750;0.800;0.107;0.009
17;0.800;0.850;0.105;0.009
18;0.850;0.900;0.096;0.010
19;0.900;0.950;0.086;0.010
20;0.950;1.000;0.082;0.010

Pad (e). Cross sections scaled by 4
1;0.000;0.050;0.346;0.032
2;0.050;0.100;0.828;0.071
3;0.100;0.150;1.027;0.088
4;0.150;0.200;0.924;0.085
5;0.200;0.250;0.751;0.068
6;0.250;0.300;0.604;0.054
7;0.300;0.350;0.601;0.057
8;0.350;0.400;0.558;0.061
9;0.400;0.450;0.638;0.064
10;0.450;0.500;0.594;0.067
11;0.500;0.550;0.677;0.073
12;0.550;0.600;0.725;0.079
13;0.600;0.650;0.582;0.081
14;0.650;0.700;0.636;0.082
15;0.700;0.750;0.680;0.084
16;0.750;0.800;0.602;0.074
17;0.800;0.850;0.474;0.085
18;0.850;0.900;0.583;0.072
19;0.900;0.950;0.476;0.079
20;0.950;1.000;0.414;0.071

