PT Fig.4;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

1;0.000;0.050;0.091;0.006
2;0.050;0.100;0.245;0.016
3;0.100;0.150;0.293;0.019
4;0.150;0.200;0.244;0.016
5;0.200;0.250;0.184;0.012
6;0.250;0.300;0.150;0.010
7;0.300;0.350;0.135;0.009
8;0.350;0.400;0.125;0.008
9;0.400;0.450;0.111;0.007
10;0.450;0.500;0.098;0.006
11;0.500;0.550;0.084;0.005
12;0.550;0.600;0.073;0.005
13;0.600;0.650;0.063;0.004
14;0.650;0.700;0.054;0.003
15;0.700;0.750;0.046;0.003
16;0.750;0.800;0.040;0.003
17;0.800;0.850;0.033;0.002
18;0.850;0.900;0.029;0.002
19;0.900;0.950;0.025;0.002
20;0.950;1.000;0.021;0.001

