Undetected Pion Subtraction Ext Data Fig.7;

Bin #;Low bin edge; High bin edge;Weighted Events/GeV;Uncertainty

Pad (a)
Undetected 1pi/gamma
1;1.800;2.000;0.012;0.001
2;2.000;2.200;0.055;0.002
3;2.200;2.400;0.106;0.002
4;2.400;2.600;0.161;0.003
5;2.600;2.800;0.165;0.002
6;2.800;3.000;0.154;0.003
7;3.000;3.200;0.130;0.002
8;3.200;3.400;0.117;0.002
9;3.400;3.600;0.094;0.002
10;3.600;3.800;0.071;0.002
11;3.800;4.000;0.054;0.002
12;4.000;4.200;0.032;0.001
13;4.200;4.250;0.026;0.002
14;4.250;4.300;0.021;0.002
15;4.300;4.350;0.019;0.002
16;4.350;4.400;0.016;0.002
17;4.400;4.450;0.011;0.001
18;4.450;4.500;0.010;0.001
19;4.500;4.550;0.009;0.002
20;4.550;4.600;0.011;0.002
21;4.600;4.650;0.006;0.001
22;4.650;4.700;0.006;0.001
23;4.700;4.750;0.004;0.001
24;4.750;4.800;0.003;0.001
25;4.800;4.850;0.002;0.001
26;4.850;4.900;0.002;0.001
27;4.900;4.950;0.004;0.001
28;4.950;5.000;0.002;0.001
29;5.000;5.050;0.002;0.001

Detected 1pi/gamma
1;1.800;2.000;0.016;0.001
2;2.000;2.200;0.074;0.002
3;2.200;2.400;0.146;0.002
4;2.400;2.600;0.223;0.003
5;2.600;2.800;0.230;0.003
6;2.800;3.000;0.213;0.003
7;3.000;3.200;0.185;0.002
8;3.200;3.400;0.161;0.002
9;3.400;3.600;0.130;0.002
10;3.600;3.800;0.102;0.002
11;3.800;4.000;0.077;0.002
12;4.000;4.200;0.047;0.001
13;4.200;4.250;0.037;0.002
14;4.250;4.300;0.033;0.002
15;4.300;4.350;0.032;0.002
16;4.350;4.400;0.026;0.002
17;4.400;4.450;0.018;0.002
18;4.450;4.500;0.016;0.002
19;4.500;4.550;0.015;0.002
20;4.550;4.600;0.014;0.002
21;4.600;4.650;0.010;0.001
22;4.650;4.700;0.009;0.001
23;4.700;4.750;0.007;0.001
24;4.750;4.800;0.005;0.001
25;4.800;4.850;0.005;0.001
26;4.850;4.900;0.004;0.001
27;4.900;4.950;0.005;0.001
28;4.950;5.000;0.004;0.001
29;5.000;5.050;0.002;0.001

Undetected 2pi/gamma
1;1.800;2.000;0.002;0.001
2;2.000;2.200;0.009;0.001
3;2.200;2.400;0.019;0.002
4;2.400;2.600;0.026;0.002
5;2.600;2.800;0.026;0.002
6;2.800;3.000;0.019;0.001
7;3.000;3.200;0.016;0.002
8;3.200;3.400;0.013;0.002
9;3.400;3.600;0.009;0.001
10;3.600;3.800;0.006;0.001
11;3.800;4.000;0.004;0.001
12;4.000;4.200;0.002;0.001
13;4.200;4.250;0.000;0.000
14;4.250;4.300;0.000;0.001
15;4.300;4.350;0.000;0.000
16;4.350;4.400;0.000;0.001
17;4.400;4.450;-0.000;0.000
18;4.450;4.500;-0.000;0.000
19;4.500;4.550;0.000;0.000
20;4.550;4.600;0.000;0.000
21;4.600;4.650;0.000;0.000
22;4.650;4.700;0.000;0.000
23;4.700;4.750;0.000;0.000
24;4.750;4.800;0.000;0.001
25;4.800;4.850;0.000;0.000
26;4.850;4.900;0.000;0.000
27;4.900;4.950;0.000;0.000
28;4.950;5.000;0.000;0.000
29;5.000;5.050;-0.000;0.000

Pad (b)
No cuts
1;1.800;2.000;0.046;0.002
2;2.000;2.200;0.210;0.003
3;2.200;2.400;0.415;0.004
4;2.400;2.600;0.645;0.004
5;2.600;2.800;0.661;0.004
6;2.800;3.000;0.616;0.004
7;3.000;3.200;0.554;0.004
8;3.200;3.400;0.489;0.004
9;3.400;3.600;0.422;0.004
10;3.600;3.800;0.351;0.003
11;3.800;4.000;0.291;0.003
12;4.000;4.200;0.225;0.003
13;4.200;4.250;0.197;0.005
14;4.250;4.300;0.186;0.005
15;4.300;4.350;0.177;0.005
16;4.350;4.400;0.162;0.005
17;4.400;4.450;0.146;0.004
18;4.450;4.500;0.136;0.004
19;4.500;4.550;0.126;0.004
20;4.550;4.600;0.118;0.004
21;4.600;4.650;0.099;0.004
22;4.650;4.700;0.084;0.004
23;4.700;4.750;0.081;0.004
24;4.750;4.800;0.067;0.003
25;4.800;4.850;0.051;0.003
26;4.850;4.900;0.043;0.003
27;4.900;4.950;0.034;0.003
28;4.950;5.000;0.024;0.002
29;5.000;5.050;0.024;0.002

No detected pi/gamma
1;1.800;2.000;0.025;0.001
2;2.000;2.200;0.112;0.002
3;2.200;2.400;0.224;0.003
4;2.400;2.600;0.361;0.003
5;2.600;2.800;0.374;0.003
6;2.800;3.000;0.354;0.003
7;3.000;3.200;0.332;0.003
8;3.200;3.400;0.301;0.003
9;3.400;3.600;0.273;0.003
